frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
57,2,1;2,0.0000,0.0000,0.3562,0.0000,0.1658,0.1658,NORMAL,,"{""[2]"": 0.16583190565908765}"
58,2,1;2,0.5116,0.7579,0.3723,-1.1490,0.1526,0.1526,NORMAL,,"{""[2]"": 0.15256535320636064}"
59,2,1;2,0.0000,0.0000,0.3723,0.0000,0.1404,0.1404,NORMAL,,"{""[2]"": 0.14036012494985178}"
60,2,1;2,0.5205,0.6591,0.3730,0.1854,0.1291,0.1291,NORMAL,,"{""[2]"": 0.12913131495386365}"
61,2,1;2,0.0000,0.0000,0.3730,0.0000,0.1188,0.1188,NORMAL,,"{""[2]"": 0.11880080975755457}"
62,2,1;2,0.6009,0.7338,0.3576,-0.4547,0.1093,0.1093,NORMAL,,"{""[2]"": 0.1092967449769502}"
63,2,1;2,0.0000,0.0000,0.3576,0.0000,0.1006,0.1006,NORMAL,,"{""[2]"": 0.10055300537879419}"
64,2,1;2,1.0250,0.6783,0.3464,-0.4837,0.0925,0.0925,NORMAL,,"{""[2]"": 0.09250876494849065}"
65,2,1;2,0.0000,0.0000,0.3464,0.0000,0.0851,0.0851,NORMAL,,"{""[2]"": 0.0851080637526114}"
66,2,1;2,0.4989,0.4205,0.3422,-0.1340,0.0783,0.0783,NORMAL,,"{""[2]"": 0.07829941865240249}"
67,2,1;2,0.0000,0.0000,0.3422,0.0000,0.1880,0.1880,NORMAL,CAMERA_RUSH,"{""[2]"": 0.1879835523648445}"
68,3,1;2;3,0.7300,0.7211,0.3556,-1.0654,0.1729,0.1729,NORMAL,,"{""[2]"": 0.17294486817565694}"
69,3,1;2;3,0.0000,0.0000,0.3556,0.0000,0.1591,0.1591,NORMAL,,"{""[2]"": 0.15910927872160438}"
70,3,1;2;3,0.5923,1.0105,0.3694,0.1091,0.1464,0.1464,NORMAL,,"{""[2]"": 0.14638053642387602}"
71,3,1;2;3,0.0000,0.0000,0.3694,0.0000,0.2320,0.2320,NORMAL,CAMERA_RUSH,"{""[2]"": 0.23196346423450284}"
72,4,1;2;3;4,1.1117,1.0460,0.3398,0.0000,0.2134,0.2134,NORMAL,,"{""[2]"": 0.2134063870957426}"
73,3,1;2;4,0.0000,0.0000,0.3398,0.0000,0.2175,0.2175,NORMAL,CAMERA_RUSH,"{""[2]"": 0.1963338761280832, ""[4]"": 0.2174782513730584}"
74,3,1;2;4,15.2357,6.4529,0.3759,0.0000,0.2001,0.2001,NORMAL,,"{""[2]"": 0.18062716603783655, ""[4]"": 0.20007999126321374}"
75,3,1;2;4,0.0000,0.0000,0.3759,0.0000,0.4348,0.4348,NORMAL,CAMERA_RUSH,"{""[2]"": 0.16617699275480963, ""[4]"": 0.4348289008022248}"
